,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0030114,0,1.060083015,0.908,0.708,0,CG17754
FBgn0037750,0,1.058111067,0.89,0.767,0,Whamy
FBgn0052264,0,1.048577038,0.871,0.623,0,CG32264
FBgn0263118,0,1.045493008,0.916,0.805,0,tx
FBgn0261244,0,1.040020176,0.878,0.729,0,inaE
FBgn0040299,0,1.038508908,0.861,0.798,0,Myo28B1
FBgn0003093,0,1.036474768,0.904,0.757,0,Pkc98E
FBgn0267487,0,1.034038139,0.918,0.784,0,Ptp61F
FBgn0261988,0,1.033422334,0.899,0.716,0,Gprk2
FBgn0035203,0,1.029920898,0.93,0.803,0,CG9149
FBgn0041188,0,1.029228533,0.946,0.825,0,Atx2
FBgn0086370,0,1.026620384,0.906,0.777,0,sra
FBgn0003884,0,1.022199739,1,0.998,0,alphaTub84B
FBgn0001941,0,1.01339404,0.98,0.91,0,ifc
FBgn0264894,0,1.012613402,0.84,0.788,0,CG44085
FBgn0262699,0,1.00941081,0.912,0.811,0,rap
FBgn0262565,0,1.004036249,0.901,0.846,0,CR43105
FBgn0266758,0,1.001581108,0.993,0.948,0,Esyt2
FBgn0035879,0,1.000563513,0.918,0.826,0,GAPcenA
FBgn0020653,0,0.99738182,0.978,0.893,0,Trxr-1
FBgn0039056,0,0.992307743,0.908,0.791,0,CenB1A
FBgn0035142,0,0.991883586,0.939,0.812,0,Hipk
FBgn0037843,0,0.982738276,0.934,0.751,0,CG4511
FBgn0036663,0,0.982392404,0.892,0.825,0,CG9674
FBgn0010246,0,0.972333637,0.998,0.972,0,Myo61F
FBgn0041182,0,0.969824879,0.924,0.839,0,Tep2
FBgn0040850,0,0.969315342,0.866,0.793,0,CG15210
FBgn0030160,0,0.96867379,0.858,0.781,0,CG9691
FBgn0013765,0,0.966728387,0.919,0.838,0,cnn
FBgn0002645,0,0.963963884,0.975,0.91,0,Map205
FBgn0267795,0,0.961645498,0.999,0.972,0,Frl
FBgn0001091,0,0.954095679,0.955,0.881,0,Gapdh1
FBgn0014009,0,0.952642129,0.953,0.844,0,Rab2
FBgn0035497,0,0.952131456,0.874,0.716,0,CG14995
FBgn0033309,0,0.95167157,0.92,0.786,0,CG8735
FBgn0004387,0,0.942762896,0.896,0.816,0,Klp98A
FBgn0265174,0,0.939813176,0.912,0.789,0,PIG-V
FBgn0036805,0,0.933832674,0.963,0.886,0,Chmp1
FBgn0004574,0,0.930470105,0.948,0.793,0,Rop
FBgn0011817,0,0.928355039,0.918,0.744,0,nmo
FBgn0039026,0,0.926888897,0.899,0.747,0,CG7029
FBgn0037387,0,0.924099311,0.795,0.701,0,CG1213
FBgn0051195,0,0.920666614,0.86,0.687,0,CG31195
FBgn0039113,0,0.91929137,0.875,0.656,0,CG10217
FBgn0053111,0,0.914562684,0.912,0.79,0,CG33111
FBgn0266410,0,0.913405845,0.991,0.923,0,CG45050
FBgn0261458,0,0.912170223,1,0.983,0,capt
FBgn0259923,0,0.910334279,0.826,0.733,0,Sep-04
FBgn0010051,0,0.909781083,0.892,0.777,0,Itp-r83A
FBgn0035896,0,0.90592506,0.892,0.711,0,CG6983
FBgn0037541,0,0.900174687,0.829,0.715,0,CG2747
FBgn0033756,0,0.895184484,0.956,0.88,0,CG17760
FBgn0034691,0,0.893533267,0.911,0.767,0,Synj
FBgn0026315,0,0.887850114,0.915,0.859,0,Ugt35a
FBgn0261545,0,0.882284468,0.827,0.65,0,CG42663
FBgn0000017,0,0.878973761,0.927,0.83,0,Abl
FBgn0029896,0,0.878630903,0.734,0.58,0,CG3168
FBgn0001961,0,0.875457151,0.996,0.979,0,Arpc1
FBgn0085421,0,0.86760884,0.887,0.799,0,Epac
FBgn0003074,0,0.86728115,0.878,0.677,0,Pgi
FBgn0267488,0,0.854651987,0.852,0.654,0,Mcr
FBgn0024321,0,0.851326849,0.837,0.693,0,NK7.1
FBgn0037063,0,0.851011699,0.886,0.741,0,CG9391
FBgn0266186,0,0.847361752,0.989,0.943,0,Vamp7
FBgn0000273,0,0.846128827,0.863,0.708,0,Pka-C1
FBgn0020510,0,0.845857434,0.939,0.833,0,Abi
FBgn0040395,0,0.843495403,0.89,0.767,0,Unc-76
FBgn0000308,0,0.840158583,1,0.99,0,chic
FBgn0003514,0,0.826567388,0.991,0.952,0,sqh
FBgn0053113,0,0.82514413,0.997,0.97,0,Rtnl1
FBgn0265375,0,0.824237015,0.946,0.89,0,CR44316
FBgn0010406,0,0.824142348,0.894,0.798,0,RNaseX25
FBgn0037956,0,0.82293842,0.763,0.695,0,CG6959
FBgn0030048,0,0.822752736,0.918,0.818,0,CG12112
FBgn0036298,0,0.821389881,0.916,0.838,0,nst
FBgn0000043,0,0.818689107,1,1,0,Act42A
FBgn0085390,0,0.810600897,0.809,0.786,0,Dgk
FBgn0085282,0,0.80955637,0.923,0.842,0,CG34253
FBgn0086372,0,0.802980062,0.913,0.773,0,lap
FBgn0053329,0,0.799832253,0.84,0.778,0,Sp212
FBgn0085442,0,0.798270353,0.884,0.824,0,NKAIN
FBgn0010894,0,0.794824525,0.832,0.697,0,sinu
FBgn0013272,0,0.790986931,0.888,0.823,0,Gp150
FBgn0038243,0,0.790842802,0.959,0.905,0,CG8066
FBgn0086694,0,0.790782755,0.856,0.688,0,Bre1
FBgn0036433,0,0.788006494,0.781,0.737,0,CG9628
FBgn0028430,0,0.785312628,0.998,0.981,0,He
FBgn0284257,0,0.78196371,0.865,0.649,0,Ttd14
FBgn0262716,0,0.780153736,0.967,0.89,0,Arp3
FBgn0035432,0,0.779290394,0.954,0.882,0,ZnT63C
FBgn0001122,0,0.776620984,0.899,0.735,0,Galphao
FBgn0267849,0,0.773301468,0.882,0.772,0,Syx7
FBgn0014906,0,0.767800439,0.916,0.747,0,Hydr2
FBgn0035603,0,0.76365959,0.922,0.841,0,Pfdn4
FBgn0264087,0,0.756527346,0.713,0.654,0,Slob
FBgn0026620,0,0.753940675,0.905,0.798,0,tacc
FBgn0037647,0,0.745541777,0.912,0.84,0,RagA-B
FBgn0034417,0,0.730156078,0.863,0.773,0,CG15117
FBgn0036449,0,0.728532031,0.862,0.744,0,bmm
FBgn0037465,0,0.725513043,0.87,0.829,0,CG1105
FBgn0030141,0,0.724514445,0.873,0.642,0,Gga
FBgn0010238,0,0.722214768,0.762,0.669,0,Lac
FBgn0046687,0,0.721156931,0.893,0.768,0,Tre1
FBgn0032156,0,0.717687827,0.874,0.805,0,CG13124
FBgn0285896,0,0.716300151,0.804,0.741,0,NA
FBgn0261570,0,0.711934958,0.86,0.786,0,CG42684
FBgn0034200,0,0.708429117,0.774,0.582,0,Gbp2
FBgn0029504,0,0.705388491,0.9,0.714,0,CHES-1-like
FBgn0025631,0,0.70268993,0.809,0.754,0,moody
FBgn0259178,0,0.700358505,0.836,0.77,0,5PtaseI
FBgn0045842,0,0.687104704,0.816,0.546,0,yuri
FBgn0040259,0,0.685312628,0.853,0.805,0,Ugt86Da
FBgn0261547,0,0.678635085,0.823,0.728,0,Exn
FBgn0263395,0,0.670958215,0.793,0.515,0,hppy
FBgn0260945,0,0.66278784,0.854,0.784,0,Atg1
FBgn0033134,0,0.660527255,0.815,0.73,0,Tsp42El
FBgn0032821,0,0.65551574,0.775,0.666,0,CdGAPr
FBgn0262733,0,0.636097488,0.828,0.671,0,Src64B
FBgn0041171,0,0.629924779,0.839,0.67,0,ago
FBgn0262477,0,0.618655009,0.794,0.646,0,FoxP
FBgn0013720,0,0.618352345,0.82,0.695,0,pck
FBgn0052296,0,0.61373094,0.833,0.626,0,Mrtf
FBgn0039844,0,0.611493539,0.796,0.747,0,CG1607
FBgn0036198,0,0.608158491,0.852,0.721,0,crim
FBgn0028552,0,0.606796686,0.852,0.744,0,gammaSnap1
FBgn0036778,0,0.60328709,0.815,0.651,0,Cyp312a1
FBgn0027508,0,0.603260884,0.849,0.647,0,Tnks
FBgn0086708,0,0.601402038,0.784,0.713,0,stv
FBgn0038098,0,0.591867341,0.775,0.674,0,CG7381
FBgn0032955,0,0.58124528,0.841,0.791,0,CG2201
FBgn0016078,0,0.577265184,0.833,0.794,0,wun
FBgn0037240,0,0.572579793,0.812,0.716,0,Cont
FBgn0037166,0,0.568191778,0.769,0.715,0,CG11426
FBgn0011661,0,0.5540713,0.997,0.987,0,Moe
FBgn0030976,0,0.546658221,0.8,0.628,0,CG7378
FBgn0052194,0,0.542895923,0.841,0.706,0,CR32194
FBgn0037167,0,0.540921277,0.657,0.559,0,CG11425
FBgn0030286,0,0.533127373,0.765,0.687,0,CG1657
FBgn0267910,0,0.507610454,1,1,0,MRE16
FBgn0036485,0,0.490099965,0.694,0.644,0,FucTA
FBgn0039075,0,0.48976801,0.713,0.646,0,CG4393
FBgn0031268,0,0.489621544,0.831,0.751,0,cold
FBgn0027844,0,0.485093506,0.72,0.682,0,CAH1
FBgn0052311,0,0.481162488,0.805,0.619,0,zormin
FBgn0037623,0,0.475605437,0.792,0.763,0,CG9801
FBgn0260005,0,0.474995256,0.722,0.741,0,wtrw
FBgn0004507,0,0.466198711,0.803,0.679,0,GlyP
FBgn0028956,0,0.457081616,0.878,0.796,0,mthl3
FBgn0028394,0,0.429181087,0.863,0.799,0,CG17834
FBgn0259736,0,0.411339501,0.733,0.727,0,CG42390
FBgn0032681,0,0.405388425,0.711,0.702,0,CG10283
FBgn0033502,0,0.400731666,0.709,0.748,0,CG12910
FBgn0265760,0,0.386483476,0.772,0.662,0,CR44567
FBgn0039155,0,0.383977811,0.668,0.725,0,Kal1
FBgn0032025,0,0.366131387,0.847,0.804,0,CG7778
FBgn0262142,0,-0.393268202,0.343,0.762,0,CR42868
FBgn0016122,0,-0.430120878,0.49,0.806,0,Acer
FBgn0023170,0,-0.478856793,1,1,0,RpL39
FBgn0085261,0,-0.634010177,0.749,0.857,0,CG34232
FBgn0050463,0,-0.746736047,0.704,0.696,0,CG30463
FBgn0085360,0,-0.765824807,0.794,0.759,0,CG34331
FBgn0285948,0,-0.777589772,0.999,0.999,0,NA
FBgn0261989,0,-0.780315112,0.82,0.765,0,CG42807
FBgn0034390,0,-0.810298319,0.783,0.8,0,CG15093
FBgn0038476,0,-0.885166446,0.743,0.739,0,kuk
FBgn0034880,0,-0.898742718,0.643,0.863,0,ItgaPS5
FBgn0039612,0,-0.899938997,0.8,0.847,0,CG14523
FBgn0003062,0,-0.924749277,0.677,0.756,0,Fib
FBgn0033548,0,-0.925065033,0.762,0.855,0,CG7637
FBgn0030234,0,-0.930436549,0.819,0.845,0,CG15211
FBgn0028331,0,-0.933552709,0.661,0.744,0,l(1)G0289
FBgn0259937,0,-0.949462073,0.765,0.789,0,Nop60B
FBgn0032078,0,-0.956525511,0.712,0.842,0,C1GalTA
FBgn0034405,0,-0.958653838,0.725,0.853,0,Jheh2
FBgn0019952,0,-0.961417561,0.774,0.868,0,Orct
