Gene,Sample_Name,Treatment,Biological_Replica,Technical_Replica,Plate,Target_Type,Target_Name,Ct,Obs,qPCR_Date
lectin-24A,waspoil_3,Wasp_Extract,3,2,1,Control,Rpl,19.83623695,,2019_07_29
lectin-24A,waspoil_4,Wasp_Extract,4,2,1,Control,Rpl,20.0605545,,2019_07_29
CG33461,control_1,Control,1,2,1,Control,Rpl,19.74513435,,2019_07_29
CG33461,control_2,Control,2,2,1,Control,Rpl,19.65669441,,2019_07_29
CG33461,control_3,Control,3,2,1,Control,Rpl,20.2791729,,2019_07_29
CG33461,control_4,Control,4,2,1,Control,Rpl,19.6261158,,2019_07_29
CG33461,oil_1,Oil,1,2,1,Control,Rpl,20.63779259,,2019_07_29
CG33461,oil_2,Oil,2,2,1,Control,Rpl,20.28820992,,2019_07_29
CG33461,oil_3,Oil,3,2,1,Control,Rpl,20.50206757,,2019_07_29
CG33461,oil_4,Oil,4,2,1,Control,Rpl,20.1205101,,2019_07_29
CG33461,waspoil_1,Wasp_Extract,1,2,1,Control,Rpl,20.40710068,,2019_07_29
CG33461,waspoil_2,Wasp_Extract,2,2,1,Control,Rpl,19.7543354,,2019_07_29
CG33461,waspoil_3,Wasp_Extract,3,2,1,Control,Rpl,19.83623695,,2019_07_29
CG33461,waspoil_4,Wasp_Extract,4,2,1,Control,Rpl,20.0605545,,2019_07_29
IM1,control_1,Control,1,2,1,Control,Rpl,19.74513435,,2019_07_29
IM1,control_2,Control,2,2,1,Control,Rpl,19.65669441,,2019_07_29
IM1,control_3,Control,3,2,1,Control,Rpl,20.2791729,,2019_07_29
IM1,control_4,Control,4,2,1,Control,Rpl,19.6261158,,2019_07_29
IM1,oil_1,Oil,1,2,1,Control,Rpl,20.63779259,,2019_07_29
IM1,oil_2,Oil,2,2,1,Control,Rpl,20.28820992,,2019_07_29
IM1,oil_3,Oil,3,2,1,Control,Rpl,20.50206757,,2019_07_29
IM1,oil_4,Oil,4,2,1,Control,Rpl,20.1205101,,2019_07_29
IM1,waspoil_1,Wasp_Extract,1,2,1,Control,Rpl,20.40710068,,2019_07_29
IM1,waspoil_2,Wasp_Extract,2,2,1,Control,Rpl,19.7543354,,2019_07_29
IM1,waspoil_3,Wasp_Extract,3,2,1,Control,Rpl,19.83623695,,2019_07_29
IM1,waspoil_4,Wasp_Extract,4,2,1,Control,Rpl,20.0605545,,2019_07_29
CG6788,control_1,Control,1,2,1,Control,Rpl,19.74513435,,2019_07_29
CG6788,control_2,Control,2,2,1,Control,Rpl,19.65669441,,2019_07_29
CG6788,control_3,Control,3,2,1,Control,Rpl,20.2791729,,2019_07_29
CG6788,control_4,Control,4,2,1,Control,Rpl,19.6261158,,2019_07_29
CG6788,oil_1,Oil,1,2,1,Control,Rpl,20.63779259,,2019_07_29
CG6788,oil_2,Oil,2,2,1,Control,Rpl,20.28820992,,2019_07_29
CG6788,oil_3,Oil,3,2,1,Control,Rpl,20.50206757,,2019_07_29
CG6788,oil_4,Oil,4,2,1,Control,Rpl,20.1205101,,2019_07_29
CG6788,waspoil_1,Wasp_Extract,1,2,1,Control,Rpl,20.40710068,,2019_07_29
CG6788,waspoil_2,Wasp_Extract,2,2,1,Control,Rpl,19.7543354,,2019_07_29
CG6788,waspoil_3,Wasp_Extract,3,2,1,Control,Rpl,19.83623695,,2019_07_29
CG6788,waspoil_4,Wasp_Extract,4,2,1,Control,Rpl,20.0605545,,2019_07_29
Tep1,control_1,Control,1,1,2,Experimental,Tep1,30.32024574,,2019_07_29
Tep1,control_2,Control,2,1,2,Experimental,Tep1,29.97771072,,2019_07_29
Tep1,control_3,Control,3,1,2,Experimental,Tep1,27.27843285,,2019_07_29
