FB_ID,waspvcontrol,waspvoil
FBgn0003079,-0.127465036,-0.412306461
FBgn0040389,-0.240615595,-0.201919104
FBgn0023526,0.016226618,0.114436898
FBgn0023529,-0.150424302,0.068516209
FBgn0023528,0.028362712,-0.05763718
FBgn0027296,-0.031822625,0.345581726
FBgn0000377,-0.049839883,-0.005027702
FBgn0001330,-0.111507708,0.315476396
FBgn0004397,0.277412256,0.23295784
FBgn0023542,-0.074719779,0.304536374
FBgn0005670,0.227923072,0.256559513
FBgn0004655,0.090883051,0.026498326
FBgn0013432,-0.25718519,-0.157861878
FBgn0040394,-0.096101365,0.2335536
FBgn0040066,-0.108220151,0.245253136
FBgn0001404,0.037572586,-0.225246346
FBgn0040336,0.114145425,-0.039467375
FBgn0040334,0.162056688,0.110604211
FBgn0029629,-0.151313006,0.061207622
FBgn0011606,0.022243466,-0.759751463
FBgn0003714,-0.361644666,-0.161060326
FBgn0003371,-0.032496303,-0.129237666
FBgn0024996,-0.168936306,0.076460849
FBgn0024973,-0.181973231,0.032547741
FBgn0024998,-0.222496744,-0.11268032
FBgn0024994,0.342092985,0.440334822
FBgn0024992,-0.204081508,-0.298547258
FBgn0040396,-0.033690837,-0.061243654
FBgn0028746,0.085378209,0.046401431
FBgn0028369,0.300290955,0.269503588
FBgn0023215,0.365829389,0.171157593
FBgn0015286,0.224255298,0.054064596
FBgn0023216,0.068489009,0.23663171
FBgn0029672,0.070047493,0.30227417
FBgn0029687,0.173225426,0.077499494
FBgn0029689,0.050924222,0.534732642
FBgn0029688,0.049015562,0.110904621
FBgn0029685,0.220743456,0.076476209
FBgn0019661,0.360904583,0.059438585
FBgn0026084,0.576729563,0.31059697
FBgn0026083,0.026328077,-0.011270961
FBgn0066114,-0.053208578,0.112170192
FBgn0029697,-0.848190149,-3.948672956
FBgn0029706,0.037755991,0.057679132
FBgn0000635,0.100623916,-0.041047757
FBgn0026079,-0.201554306,0.31883824
FBgn0029693,0.019711651,-0.216437388
FBgn0022768,0.03978307,-0.232180785
FBgn0011760,-0.095279802,-0.148827453
FBgn0028325,-0.573382946,-0.501558891
FBgn0029737,-0.220129729,-0.161476209
FBgn0004368,0.58819992,-0.09197758
FBgn0029728,0.471866104,-0.886149362
FBgn0003449,-0.115375168,-0.249502985
FBgn0029755,-0.063709822,0.560575273
FBgn0014024,-0.116692474,-0.08741017
FBgn0029752,0.304518334,-1.004913895
FBgn0052767,0.22407275,-0.425836354
FBgn0026751,-0.20313417,-0.409080241
FBgn0029763,0.076333709,0.244983759
FBgn0029765,-0.069150206,-0.033992021
FBgn0029766,-0.83051275,-0.789084031
FBgn0026702,-0.16570143,0.413647855
FBgn0004687,0.236413591,0.113462715
FBgn0029778,0.059411015,0.213702912
FBgn0029769,0.429095262,-0.097835586
FBgn0028474,-0.111046565,-0.14491912
FBgn0029785,-0.143883826,0.120480849
FBgn0029798,0.034847844,0.275690384
FBgn0029801,-0.13909123,0.100108799
FBgn0029823,-0.074922216,0.22259946
FBgn0029819,0.012524046,-0.065501508
FBgn0014340,0.116533339,-0.023675797
FBgn0029818,0.015949484,0.003085962
FBgn0013987,0.018235455,0.02779382
FBgn0261383,0.017196469,-0.313147979
FBgn0052758,0.223749205,0.269105864
FBgn0053080,-0.049176559,-0.196702684
FBgn0027564,0.132296179,0.216953313
FBgn0029789,-0.205149702,-0.328715326
FBgn0015794,0.063685427,-0.10219546
FBgn0029828,-0.069556729,-0.426612945
FBgn0029830,0.361429672,1.027220449
FBgn0029831,-0.199853944,1.287083233
FBgn0029833,-0.073418884,0.056594798
FBgn0029849,-0.233193532,-0.100663285
FBgn0003514,-0.014417327,0.089346215
FBgn0015818,-0.047513682,-0.098372414
FBgn0028982,0.001195553,0.13022568
FBgn0029857,-0.187553461,0.129522483
FBgn0029861,-0.112317168,-0.377089376
FBgn0029866,0.219397911,0.267826719
FBgn0029867,0.029955721,0.265532272
FBgn0029873,-0.367554557,-0.067329705
FBgn0014031,-0.262447857,-0.121700771
FBgn0000524,0.181793003,-0.28567544
FBgn0014026,-0.198058583,0.075112636
FBgn0003139,-0.217762454,-0.042288245
FBgn0029868,-0.229502026,-0.257832152
FBgn0028685,-0.157598962,-0.014456044
FBgn0026015,-0.199229092,-0.034661676
FBgn0002563,0.775469782,0.867670476
FBgn0020305,-0.20586039,0.225680458
FBgn0020304,0.124348836,-0.433431134
FBgn0004611,0.087331162,-0.220527851
FBgn0003278,-0.083042,0.244937719
FBgn0002593,-0.123115557,0.121973492
FBgn0004583,0.601313462,0.233549251
FBgn0031256,-0.222128112,-0.015251029
FBgn0027592,-0.021898076,-0.220787187
FBgn0003963,0.373644449,-0.072677729
FBgn0031265,-0.286271457,-0.249608243
FBgn0031266,-0.026390731,-0.092426632
FBgn0021874,-0.213617522,0.355509363
FBgn0031260,0.237224988,0.412122344
FBgn0010602,-0.028323146,-0.005615553
FBgn0031258,0.119178064,0.383470279
FBgn0015924,-0.03822901,-0.217799586
FBgn0067779,0.126599818,-0.148474462
FBgn0031213,0.147540091,-0.170337242
FBgn0031216,0.228950322,-0.201143472
FBgn0031217,0.005111874,0.104535941
FBgn0031228,-0.195746479,-0.226080173
FBgn0031229,-0.063252269,0.016868746
FBgn0031231,-0.250261842,-0.233084401
FBgn0031233,0.038690492,-0.011811408
FBgn0003444,0.07017377,0.021844066
FBgn0031247,-0.284061766,-0.208128078
FBgn0024352,-0.219535134,-0.187777996
FBgn0020622,0.378842487,0.12228069
FBgn0017457,-0.031150549,-0.046984712
